filename,RGB1,RGB2,RGB3,RGB4,RGB5,RGB6
mark-rothko_no-1-royal-red-and-blue-1954.jpg,"(Rgb(r=195, g=50, b=23), 0.4436373671398235)","(Rgb(r=36, g=88, b=143), 0.22290037587488462)","(Rgb(r=179, g=45, b=67), 0.14764387628922554)","(Rgb(r=191, g=95, b=81), 0.12418038723001554)","(Rgb(r=201, g=129, b=105), 0.05459221914980568)","(Rgb(r=194, g=71, b=84), 0.007045774316245145)"
natalia-dumitresco_on-me-fait-signe-1964.jpg,"(Rgb(r=119, g=165, b=187), 0.2501827392516095)","(Rgb(r=170, g=166, b=143), 0.22468133010722005)","(Rgb(r=119, g=103, b=55), 0.19177262937352685)","(Rgb(r=35, g=28, b=15), 0.16061900722748398)","(Rgb(r=193, g=143, b=22), 0.10459721141856475)","(Rgb(r=218, g=216, b=191), 0.0681470826215949)"
christo-coetzee_spiral-axis-1949.jpg,"(Rgb(r=50, g=47, b=24), 0.3050737968808797)","(Rgb(r=112, g=100, b=54), 0.20464314086214827)","(Rgb(r=179, g=172, b=113), 0.16310574068654096)","(Rgb(r=80, g=89, b=103), 0.1385060835389054)","(Rgb(r=83, g=96, b=85), 0.09748296190993853)","(Rgb(r=162, g=147, b=59), 0.09118827612158716)"
william-turnbull_18-1963-1963.jpg,"(Rgb(r=76, g=133, b=34), 0.5424478179381345)","(Rgb(r=99, g=155, b=52), 0.19045584882286667)","(Rgb(r=115, g=163, b=57), 0.15715223973045275)","(Rgb(r=151, g=189, b=88), 0.05093524565216231)","(Rgb(r=85, g=134, b=32), 0.037473902294462215)","(Rgb(r=228, g=233, b=198), 0.021534945561921644)"
fritz-winter_kleiner-garten-1961.jpg,"(Rgb(r=117, g=89, b=74), 0.5028404090788237)","(Rgb(r=83, g=89, b=104), 0.21639535798141846)","(Rgb(r=95, g=81, b=87), 0.0927355180329465)","(Rgb(r=50, g=50, b=54), 0.07812342017458124)","(Rgb(r=152, g=140, b=126), 0.0552803148603762)","(Rgb(r=56, g=53, b=51), 0.054624979871853926)"
pat-lipsky_morning-fever-1970.jpg,"(Rgb(r=221, g=169, b=51), 0.3268102938375322)","(Rgb(r=128, g=81, b=109), 0.17260323411763526)","(Rgb(r=190, g=159, b=51), 0.13538481588787857)","(Rgb(r=85, g=84, b=129), 0.13040732237917171)","(Rgb(r=243, g=232, b=217), 0.12442731255451182)","(Rgb(r=65, g=108, b=81), 0.11036702122327041)"
rodolfo-arico_untitled-1966-1.jpg,"(Rgb(r=223, g=219, b=215), 0.630667015699529)","(Rgb(r=177, g=21, b=4), 0.19711630902381222)","(Rgb(r=185, g=42, b=24), 0.1537733772867637)","(Rgb(r=169, g=158, b=149), 0.016082692989304304)","(Rgb(r=235, g=221, b=224), 0.0018843141388424928)","(Rgb(r=187, g=93, b=80), 0.00047629086174823764)"
daniel-buren_peinture-acrylique-blanche-sur-tissu-ray-blanc-et-orange-1967.jpg,"(Rgb(r=195, g=154, b=121), 0.3779917600843154)","(Rgb(r=220, g=214, b=204), 0.19980837405384688)","(Rgb(r=146, g=94, b=71), 0.17826578518731437)","(Rgb(r=165, g=162, b=164), 0.0975280252946249)","(Rgb(r=155, g=157, b=175), 0.08353358244706333)","(Rgb(r=202, g=204, b=219), 0.0628724729328351)"
morris-louis_pillar-of-fire-1961.jpg,"(Rgb(r=243, g=242, b=237), 0.5951603022258526)","(Rgb(r=212, g=131, b=65), 0.12779933292492002)","(Rgb(r=175, g=89, b=56), 0.11506194268599823)","(Rgb(r=250, g=216, b=78), 0.09079538492954871)","(Rgb(r=92, g=109, b=90), 0.03708903410251174)","(Rgb(r=74, g=86, b=96), 0.03409400313116874)"
bob-law_no-62-black-blue-violet-blue-1967.jpg,"(Rgb(r=5, g=6, b=8), 1.0)",,,,,
