filename,RGB1,RGB2,RGB3,RGB4,RGB5,RGB6
mark-rothko_no-1-royal-red-and-blue-1954.jpg,"[0.7647058823529411, 0.19607843137254902, 0.09019607843137255, 0.0, 17397543809404.844]","[0.1411764705882353, 0.34509803921568627, 0.5607843137254902, 0.0, 87411912107797.89]","[0.7019607843137254, 0.17647058823529413, 0.2627450980392157, 0.0, 57899559329108.055]","[0.7490196078431373, 0.37254901960784315, 0.3176470588235294, 0.0, 48698191070594.33]","[0.788235294117647, 0.5058823529411764, 0.4117647058823529, 0.0, 21408713392080.66]","[0.7607843137254902, 0.2784313725490196, 0.32941176470588235, 0.0, 27630487514686.844]"
natalia-dumitresco_on-me-fait-signe-1964.jpg,"[0.4666666666666667, 0.6470588235294118, 0.7333333333333333, 0.0, 9811087813788.607]","[0.6666666666666666, 0.6509803921568628, 0.5607843137254902, 0.0, 88110325532243.16]","[0.4666666666666667, 0.403921568627451, 0.21568627450980393, 0.0, 75204952695500.72]","[0.13725490196078433, 0.10980392156862745, 0.058823529411764705, 0.0, 62987845971562.34]","[0.7568627450980392, 0.5607843137254902, 0.08627450980392157, 0.0, 41018514281790.1]","[0.8549019607843137, 0.8470588235294118, 0.7490196078431373, 0.0, 2672434612611.565]"
christo-coetzee_spiral-axis-1949.jpg,"[0.19607843137254902, 0.1843137254901961, 0.09411764705882353, 0.0, 11963678309054.105]","[0.4392156862745098, 0.39215686274509803, 0.21176470588235294, 0.0, 80252212102803.25]","[0.7019607843137254, 0.6745098039215687, 0.44313725490196076, 0.0, 63963035563349.4]","[0.3137254901960784, 0.34901960784313724, 0.403921568627451, 0.0, 5431611119172.761]","[0.3254901960784314, 0.3764705882352941, 0.3333333333333333, 0.0, 38228612513701.38]","[0.6352941176470588, 0.5764705882352941, 0.23137254901960785, 0.0, 35760108282975.36]"
william-turnbull_18-1963-1963.jpg,"[0.2980392156862745, 0.5215686274509804, 0.13333333333333333, 0.0, 21272463448554.293]","[0.38823529411764707, 0.6078431372549019, 0.20392156862745098, 0.0, 74688568165830.08]","[0.45098039215686275, 0.6392156862745098, 0.2235294117647059, 0.0, 61628329306059.91]","[0.592156862745098, 0.7411764705882353, 0.34509803921568627, 0.0, 19974606138102.867]","[0.3333333333333333, 0.5254901960784314, 0.12549019607843137, 0.0, 146956479586126.34]","[0.8941176470588236, 0.9137254901960784, 0.7764705882352941, 0.0, 84450766909496.64]"
fritz-winter_kleiner-garten-1961.jpg,"[0.4588235294117647, 0.34901960784313724, 0.2901960784313726, 0.0, 19719231728581.32]","[0.3254901960784314, 0.34901960784313724, 0.40784313725490196, 0.0, 84860924698595.48]","[0.37254901960784315, 0.3176470588235294, 0.3411764705882353, 0.0, 3636686981684.1763]","[0.19607843137254902, 0.19607843137254902, 0.21176470588235294, 0.0, 30636635362580.88]","[0.596078431372549, 0.5490196078431373, 0.49411764705882355, 0.0, 2167855484720.6353]","[0.2196078431372549, 0.20784313725490197, 0.2, 0.0, 214215607340603.62]"
pat-lipsky_morning-fever-1970.jpg,"[0.8666666666666667, 0.6627450980392157, 0.2, 0.0, 12816089954413.027]","[0.5019607843137255, 0.3176470588235294, 0.42745098039215684, 0.0, 67687542791229.516]","[0.7450980392156863, 0.6235294117647059, 0.2, 0.0, 53092084661913.164]","[0.3333333333333333, 0.32941176470588235, 0.5058823529411764, 0.0, 51140126423204.59]","[0.9529411764705882, 0.9098039215686274, 0.8509803921568627, 0.0, 48795024531181.11]","[0.2549019607843137, 0.4235294117647059, 0.3176470588235294, 0.0, 43281184793439.375]"
rodolfo-arico_untitled-1966-1.jpg,"[0.8745098039215686, 0.8588235294117647, 0.8431372549019608, 0.0, 2473203983135.4077]","[0.6941176470588235, 0.08235294117647059, 0.01568627450980392, 0.0, 77300513342671.47]","[0.7254901960784313, 0.16470588235294117, 0.09411764705882353, 0.0, 6030328521049.557]","[0.6627450980392157, 0.6196078431372549, 0.5843137254901961, 0.0, 63069384271781.586]","[0.9215686274509803, 0.8666666666666667, 0.8784313725490196, 0.0, 73894672111470.31]","[0.7333333333333333, 0.36470588235294116, 0.3137254901960784, 0.0, 186780730097348.1]"
daniel-buren_peinture-acrylique-blanche-sur-tissu-ray-blanc-et-orange-1967.jpg,"[0.7647058823529411, 0.6039215686274509, 0.4745098039215686, 0.0, 14823206277816.291]","[0.8627450980392157, 0.8392156862745098, 0.8, 0.0, 78356225119155.64]","[0.5725490196078431, 0.3686274509803922, 0.2784313725490196, 0.0, 69908151053848.766]","[0.6470588235294118, 0.6352941176470588, 0.6431372549019608, 0.0, 3824628442926.467]","[0.6078431372549019, 0.615686274509804, 0.6862745098039216, 0.0, 32758267626299.344]","[0.792156862745098, 0.8, 0.8588235294117647, 0.0, 2465587173836.6704]"
morris-louis_pillar-of-fire-1961.jpg,"[0.9529411764705882, 0.9490196078431372, 0.9294117647058824, 0.0, 23339619695131.473]","[0.8313725490196079, 0.5137254901960784, 0.2549019607843137, 0.0, 50117385460752.945]","[0.6862745098039216, 0.34901960784313724, 0.2196078431372549, 0.0, 45122330465097.35]","[0.9803921568627451, 0.8470588235294118, 0.3058823529411765, 0.0, 35606033305705.38]","[0.3607843137254902, 0.42745098039215684, 0.35294117647058826, 0.0, 14544719255886.957]","[0.2901960784313726, 0.33725490196078434, 0.3764705882352941, 0.0, 13370197306340.682]"
bob-law_no-62-black-blue-violet-blue-1967.jpg,"[0.0196078431372549, 0.023529411764705882, 0.03137254901960784, 0.00392156862745098, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
john-ferren_untitled-1956.jpg,"[0.592156862745098, 0.6588235294117647, 0.6784313725490196, 0.0, 111083307172354.61]","[0.08627450980392157, 0.13333333333333333, 0.16862745098039217, 0.0, 70966773282133.64]","[0.6392156862745098, 0.6078431372549019, 0.5490196078431373, 0.0, 68428020910584.05]","[0.44313725490196076, 0.4196078431372549, 0.3568627450980392, 0.0, 56989986032312.22]","[0.6039215686274509, 0.6470588235294118, 0.6313725490196078, 0.0, 5165769610497.149]","[0.30980392156862746, 0.3764705882352941, 0.4235294117647059, 0.0, 33031079242742.035]"
arthur-beecher-carles_landscape-1921.jpg,"[0.8313725490196079, 0.5843137254901961, 0.4117647058823529, 0.0, 17770807209579.094]","[0.6039215686274509, 0.33725490196078434, 0.19215686274509805, 0.0, 10593577531105.662]","[0.2784313725490196, 0.0784313725490196, 0.043137254901960784, 0.0, 5727193924583.231]","[0.8588235294117647, 0.3411764705882353, 0.20392156862745098, 0.0, 18203034715318.242]","[0.25098039215686274, 0.047058823529411764, 0.06666666666666667, 0.0, 17316159317059.557]","[0.9686274509803922, 0.8, 0.6274509803921569, 0.0, 15721882060040.361]"
john-ferren_grazioso-1933.jpg,"[0.2, 0.10980392156862745, 0.0784313725490196, 0.0, 20808489749973.22]","[0.17647058823529413, 0.11764705882352941, 0.1411764705882353, 0.0, 68043037161043.984]","[0.4392156862745098, 0.30980392156862746, 0.2, 0.0, 6316306184873.035]","[0.5058823529411764, 0.6196078431372549, 0.8117647058823529, 0.0, 24922731059316.004]","[0.07450980392156863, 0.08627450980392157, 0.0784313725490196, 0.0, 14305746762539.314]","[0.4392156862745098, 0.13725490196078433, 0.09803921568627451, 0.0, 136373884137362.03]"
