filename,emotion,category,rationale,polarity,subjectivity,annotator
sam-gilliam_red-petals.jpg,anger,MIN,is a starburst,,,annotator_36
sam-gilliam_red-petals.jpg,anger,MIN,It has smooth transitions. It is relaxed.,,,annotator_30
sam-gilliam_red-petals.jpg,anger,MAX,The red color exploding from the center.,,,annotator_188
sam-gilliam_red-petals.jpg,anger,MAX,A vortex of angry red tones.,,,annotator_28
sam-gilliam_red-petals.jpg,anger,MAX,paint little collapse,,,annotator_280
sam-gilliam_red-petals.jpg,anger,MAX,This piece and its colors remind you of fire and that is angry.,,,annotator_62
sam-gilliam_red-petals.jpg,anger,MAX,CONTRAST RED COLOR AND BLACK DOTS,,,annotator_284
sam-gilliam_red-petals.jpg,anger,MAX,The bright colors bring of feelings of intensity.,,,annotator_84
sam-gilliam_red-petals.jpg,anger,MAX,Evokes of pic,,,annotator_172
sam-gilliam_red-petals.jpg,anger,MAX,bursting with rage,,,annotator_249
sam-gilliam_red-petals.jpg,anger,MAX,irritating image,,,annotator_235
sam-gilliam_red-petals.jpg,anger,MAX,"disturbing somewhat, makes me a bit angry",,,annotator_235
sam-gilliam_red-petals.jpg,anger,MAX,Red is a color of anger,,,annotator_120
sam-gilliam_red-petals.jpg,anger,MAX,"very unsettling and chaotic, red and alarming",,,annotator_246
sam-gilliam_red-petals.jpg,anger,MAX,The fiery colors suggest rage,,,annotator_197
sam-gilliam_red-petals.jpg,anger,MAX,the growing shapeless redness is like the boiling over of temper,,,annotator_110
sam-gilliam_red-petals.jpg,anger,MAX,an explosion of hot color,,,annotator_33
sam-gilliam_red-petals.jpg,anger,MAX,The fiery red evokes rage,,,annotator_197
sam-gilliam_red-petals.jpg,disgust,MIN,It is attractive,,,annotator_103
sam-gilliam_red-petals.jpg,disgust,MIN,"Looks like some mysterious outer space galaxy.  Mystery, not disgust.",,,annotator_28
sam-gilliam_red-petals.jpg,disgust,MAX,the red color is not to my liking,,,annotator_258
sam-gilliam_red-petals.jpg,disgust,MAX,BLOOD RED SPLITS,,,annotator_284
sam-gilliam_red-petals.jpg,disgust,MAX,heart bleeding red brown,,,annotator_147
sam-gilliam_red-petals.jpg,disgust,MAX,it looks like spilled blood,,,annotator_227
sam-gilliam_red-petals.jpg,disgust,MAX,as if seeing inside a giant squid,,,annotator_290
sam-gilliam_red-petals.jpg,disgust,MAX,The color is angry,,,annotator_120
sam-gilliam_red-petals.jpg,disgust,MAX,DARK BLOODY COLOR,,,annotator_284
sam-gilliam_red-petals.jpg,disgust,MAX,Looks like a blood cell under attack.,,,annotator_28
sam-gilliam_red-petals.jpg,disgust,MAX,The reds are too deep so it looks like blood.,,,annotator_285
sam-gilliam_red-petals.jpg,disgust,MAX,"Angry colors, unsettled shapes",,,annotator_254
sam-gilliam_red-petals.jpg,disgust,MAX,looks like puke and fluids,,,annotator_91
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,The composition is very orderly.,,,annotator_188
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,with the few colors/lines there is not a lot going on in the pic,,,annotator_24
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,"Luminous orange elements, grey background, rather peaceful.",,,annotator_28
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,vertical lines and simplistic pattern,,,annotator_32
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,white and straight lines,,,annotator_98
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,uniform plainess static,,,annotator_306
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,vertical lines are soothing,,,annotator_32
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,The yellow and black bars seem composed and peaceful.,,,annotator_28
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,The colors and composition are calm and placid,,,annotator_197
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,"A restrained painting, all elements in harmony.",,,annotator_28
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,vertical lines are soothing,,,annotator_32
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,BLACK AND  FADE IMAGE,,,annotator_284
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,"dullness, color and design",,,annotator_234
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,dull design without bright or attractive color,,,annotator_234
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,looks like underground pipes,,,annotator_255
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,dull design without bright or attractive color,,,annotator_234
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,BLACK AND LOW FADE IMAGE,,,annotator_284
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,"dullness, color and design",,,annotator_234
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,Simple straight lines and light colors.,,,annotator_285
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,SIMPLE BLACK SPRAY,,,annotator_284
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,Looks like draperies in a cheap motel that a crackhead has pulled shut because they're paranoid that the police are about the break in any minute. Very sad.,,,annotator_260
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MAX,"calm, gradient, yellow",,,annotator_27
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MAX,Nice pic,,,annotator_172
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MAX,single line of yellow give me a peace,,,annotator_66
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MIN,"picture, color and design",,,annotator_234
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MIN,The primary colors are smooth and bright,,,annotator_8
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MIN,circular pattern reminds me of a plate/food and is calming,,,annotator_24
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,The bright colors are brush strokes suggest violent movement,,,annotator_197
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,paint little collapse,,,annotator_280
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,ROUGH STOKES AND COLOR,,,annotator_284
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,The whirling circle suggests a mind in rage.,,,annotator_28
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,the mix of color seems messy and dirty,,,annotator_290
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,as if a broken disk with splattered paint,,,annotator_290
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,The art is not complete and yellow colour is not used properly,,,annotator_154
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,hyper-creative art design,,,annotator_100
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,The bright colors and violent swirl suggest rage,,,annotator_197
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,The bright center seems to radiate rage.,,,annotator_28
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,the circle is anger inducing,,,annotator_91
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,I see a rapidly whirling disk of anger in the center.,,,annotator_28
kazuo-shiraga_goshiki-sanmai-1976.jpg,happiness,MIN,looks like a circular saw with sharping beam,,,annotator_255
kazuo-shiraga_goshiki-sanmai-1976.jpg,happiness,MIN,LOW FADE COLOR,,,annotator_284
kazuo-shiraga_goshiki-sanmai-1976.jpg,happiness,MIN,The cluster of paint evokes intensity,,,annotator_209
kazuo-shiraga_goshiki-sanmai-1976.jpg,happiness,MIN,looks like a fierceful spinning disk,,,annotator_255
kazuo-shiraga_goshiki-sanmai-1976.jpg,happiness,MIN,This looks like a gross dirty eyeball under a magnifying glass.,,,annotator_181
kazuo-shiraga_goshiki-sanmai-1976.jpg,happiness,MIN,looks like a circular saw,,,annotator_32
kazuo-shiraga_goshiki-sanmai-1976.jpg,happiness,MIN,The circle looks like a magnifying glass revealing the negative energy of the image when examined closely.,,,annotator_28
kazuo-shiraga_goshiki-sanmai-1976.jpg,happiness,MAX,beautiful and attractive design and color,,,annotator_234
kazuo-shiraga_goshiki-sanmai-1976.jpg,happiness,MAX,"brightness,color and design",,,annotator_234
kazuo-shiraga_celebration-1967.jpg,anger,MIN,bright color so better feel,,,annotator_280
kazuo-shiraga_celebration-1967.jpg,anger,MAX,The red smears look like blood from a violent confrontation.,,,annotator_181
kazuo-shiraga_celebration-1967.jpg,anger,MAX,as if humans struggling within sticky blood,,,annotator_290
kazuo-shiraga_celebration-1967.jpg,anger,MAX,It's hard to follow patterns because the colors are so bright.,,,annotator_285
kazuo-shiraga_celebration-1967.jpg,anger,MAX,The bright red and random brushstrokes suggest rage,,,annotator_197
kazuo-shiraga_celebration-1967.jpg,anger,MAX,dark red colors and the texture,,,annotator_258
kazuo-shiraga_celebration-1967.jpg,anger,MAX,red color make me little angry,,,annotator_66
kazuo-shiraga_celebration-1967.jpg,anger,MAX,The fiery red and random strokes evoke rage,,,annotator_197
kazuo-shiraga_celebration-1967.jpg,anger,MAX,bold and aggressive,,,annotator_239
kazuo-shiraga_celebration-1967.jpg,anger,MAX,the colors and shapes are chaotic,,,annotator_91
kazuo-shiraga_celebration-1967.jpg,anger,MAX,The strong red brushstrokes in red seem applied in anger.,,,annotator_28
kazuo-shiraga_celebration-1967.jpg,anger,MAX,good colours hardwork,,,annotator_151
kazuo-shiraga_celebration-1967.jpg,anger,MAX,makes me feel like blood,,,annotator_208
kazuo-shiraga_celebration-1967.jpg,anger,MAX,as if people got in the swirls of blood without force to fight,,,annotator_290
kazuo-shiraga_celebration-1967.jpg,anger,MAX,lots of dark red white weird texture,,,annotator_258
kazuo-shiraga_celebration-1967.jpg,disgust,MIN,Simple and Bright colors,,,annotator_2
kazuo-shiraga_celebration-1967.jpg,disgust,MAX,reminds me of innards,,,annotator_32
kazuo-shiraga_celebration-1967.jpg,disgust,MAX,blood squiggles death,,,annotator_147
kazuo-shiraga_celebration-1967.jpg,disgust,MAX,All that movement in red evokes the feeling of a person about to erupt in disgust and anger.,,,annotator_28
kazuo-shiraga_celebration-1967.jpg,disgust,MAX,DARK RED AND BLACK ANCIENT FIGURES,,,annotator_284
kazuo-shiraga_celebration-1967.jpg,disgust,MAX,The piece reminds me of smeared blood or puss coughed up that refuses to do down the sink easily. With disgust I must put my hand in sink to swirl it to till it goes down drain.,,,annotator_37
kazuo-shiraga_celebration-1967.jpg,disgust,MAX,looks like bloody guts,,,annotator_78
kazuo-shiraga_celebration-1967.jpg,disgust,MAX,It looks like a puddle of blood,,,annotator_265
kazuo-shiraga_celebration-1967.jpg,disgust,MAX,The paint is all over the place with a lot of activity.,,,annotator_285
kazuo-shiraga_celebration-1967.jpg,disgust,MAX,Resembles something bloddy and messy,,,annotator_225
kazuo-shiraga_celebration-1967.jpg,disgust,MAX,DARK DISGUST COLOR,,,annotator_284
kazuo-shiraga_celebration-1967.jpg,disgust,MAX,Bright color is used,,,annotator_154
kazuo-shiraga_celebration-1967.jpg,disgust,MAX,positive creative art,,,annotator_100
kazuo-shiraga_celebration-1967.jpg,disgust,MAX,some peoples with blood,,,annotator_278
kazuo-shiraga_celebration-1967.jpg,disgust,MAX,RED COLOR MAKE ME MORE INTENSELY,,,annotator_66
wassily-kandinsky_black-and-violet-1923.jpg,anger,MIN,The colorful block-like shapes resemble fun children's toys.,,,annotator_181
wassily-kandinsky_black-and-violet-1923.jpg,anger,MIN,The patterns appear to be simple diamond shapes.,,,annotator_285
wassily-kandinsky_black-and-violet-1923.jpg,anger,MIN,Futuristic and simple line painting.,,,annotator_285
wassily-kandinsky_black-and-violet-1923.jpg,anger,MIN,some colorful shapes gives happy,,,annotator_278
wassily-kandinsky_black-and-violet-1923.jpg,anger,MIN,i like the defined shapes,,,annotator_258
wassily-kandinsky_black-and-violet-1923.jpg,anger,MIN,i like the imagery,,,annotator_258
wassily-kandinsky_black-and-violet-1923.jpg,anger,MIN,quirky and fun colors,,,annotator_32
wassily-kandinsky_black-and-violet-1923.jpg,anger,MIN,"The shapes look very composed, pretty and calm.",,,annotator_28
wassily-kandinsky_black-and-violet-1923.jpg,anger,MIN,looks like a face,,,annotator_258
wassily-kandinsky_black-and-violet-1923.jpg,anger,MAX,because it is like throwing things,,,annotator_172
wassily-kandinsky_black-and-violet-1923.jpg,anger,MAX,the sharp triangles and scene looks hectic and causes anxiety,,,annotator_24
wassily-kandinsky_black-and-violet-1923.jpg,anger,MAX,The triangles and lines seem to be converging upon the black mass as in anger.,,,annotator_28
wassily-kandinsky_black-and-violet-1923.jpg,anger,MAX,looks like one person threatening another with a knife,,,annotator_249
wassily-kandinsky_black-and-violet-1923.jpg,anger,MAX,Looks like an abstract representation of two people in combat.  The one on the right is wielding swords.,,,annotator_28
wassily-kandinsky_black-and-violet-1923.jpg,anger,MAX,ALL THE COLOR ARE MERGE TOGETHER,,,annotator_66
wassily-kandinsky_black-and-violet-1923.jpg,anger,MAX,The dark shapes look like an evil demon.,,,annotator_285
wassily-kandinsky_black-and-violet-1923.jpg,anger,MAX,"looks combative, like an argument at a cocktail party, where one person has been 'overserved'",,,annotator_316
wassily-kandinsky_black-and-violet-1923.jpg,disgust,MIN,It looks like there is a smiling image on the bottom left.,,,annotator_285
wassily-kandinsky_black-and-violet-1923.jpg,disgust,MIN,The image is vibrant and kinetic,,,annotator_197
wassily-kandinsky_black-and-violet-1923.jpg,disgust,MIN,bright color so better feel,,,annotator_280
wassily-kandinsky_black-and-violet-1923.jpg,disgust,MIN,bright color so better feel,,,annotator_280
wassily-kandinsky_black-and-violet-1923.jpg,disgust,MAX,All those lines and arrows suggest disgust and conflict.,,,annotator_28
wassily-kandinsky_black-and-violet-1923.jpg,disgust,MAX,robots fighting poking,,,annotator_36
wassily-kandinsky_black-and-violet-1923.jpg,disgust,MAX,feel very dark,,,annotator_280
